INTL_20160320_000001	ﺰﻴﻟﺎﻫﺪﻟﺍﻭ ﺕﺎﻤﻬﻤﻠﻟ ﻝﻮﺧﺩ ﺔﺻﺮﻓ 1+
INTL_20160320_000002	Contains a variety of special benefits for all your characters in this server for 30 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement speed{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl}- Able to use Personal Trade up to 30 times{nl}- 1 extra instance entry for missions and dungeons{nl}
INTL_20160320_000003	Contains a variety of special benefits for all your characters in this server for 60 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement speed{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl}- Able to use Personal Trade up to 60 times{nl}- 1 extra instance entry for missions and dungeons{nl}
INTL_20160323_000004	- Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement speed{nl} - Can only trade up to 30 times{nl}
INTL_20160326_000005	.ﻡﻮﻳ 60 ﺓﺪﻤﻟ ﺮﻓﺮﻴﺴﻟﺍ ﻲﻓ ﻚﺗﺎﻴﺼﺨﺷ ﻊﻴﻤﺠﻟ ﺓﺮﻛﺬﺗ ﺓﺪﺋﺎﻓ ﺢﻨﻤﺗ .ﻝﺎﻤﻌﺘﺳﻼﻟ ﻦﻤﻳﻷﺍ ﺱﻭﺎﻤﻟﺍ ﺭﺰﺑ ﺮﻘﻧﺃ{nl}[ﺓﺮﻛﺬﺘﻟﺍ ﺓﺪﺋﺎﻓ]{nl} - ﺎﻌﻣ ﺕﺎﻔﺼﻟﺍ ﻦﻣ 2 ﻢﻠﻌﺗ ﻰﻠﻋ ﺭﺩﺎﻗ{nl} - ﻕﻮﺴﻟﺍ ﺔﻟﻮﻤﻋ ﺾﻴﻔﺨﺗ (30% {img white_right_arrow 16 16} 10%){nl} - ﻕﻮﺴﻟﺎﺑ ﺩﻮﻨﺒﻟﺍ ﺔﺤﺋﻻ ﻲﻓ ﺕﺍﻭﺩﺍ 5 ﻊﺿﻭ ﻰﻠﻋ ﺭﺩﺎﻗ{nl} - +3ﺔﻴﺼﺨﺸﻟﺍ ﻙﺮﺤﺗ ﺔﻋﺮﺳ ﺓﺩﺎﻳﺯd{nl} - +30%ﺵﻮﺣﻮﻟﺍ ﺩﺎﻴﻄﺻﺍ ﻦﻣ ﺓﺮﺒﺧs{nl}ﺓﺮﺒﺨﻟﺍ ﺔﻤﻴﻤﺗ ﺮﻴﺛﺄﺗ ﻊﻣ ﺱﺪﻜﺘﺗt){nl} - Able to use Premium Gestures{nl} -ﻯﻮﺼﻘﻟﺍ ﺕﺎﻓﻮﺒﻟﺍ ﺩﺪﻋ ﺪﺣ ﺓﺩﺎﻳﺯt{nl} -ﺓﺮﻣ 60 ﻞﺼﻳ ﺎﻣ ﻰﻟﺇ ﺔﻴﺼﺨﺸﻟﺍ ﺓﺮﺟﺎﺘﻤﻟﺍ ﻝﺎﻤﻌﺘﺳﺍ ﻰﻠﻋ ﺭﺩﺎﻗ 
INTL_20160326_000006	ﻡﻮﻳ 30 : ﺓﺮﻛﺬﺗ
INTL_20160329_000007	x10 ﺮﻳﻮﻄﺗ ﺔﻓﺎﻔﻟ ﻕﻭﺪﻨﺻ
INTL_20160329_000008 ﻝﺎﻤﻌﺘﺳﻼﻟ ﻦﻴﻤﻳﻷﺍ ﺱﻭﺎﻤﻟﺍ ﺭﺰﺑ ﺮﻘﻧﺍ .ﺮﻳﻮﻄﺗ ﺕﺎﻓﺎﻔﻟ 10 ﻰﻠﻋ ﻱﻮﺘﺤﻳ.
INTL_20160329_000009	10x Megaphone Box
INTL_20160329_000010	ﻝﺎﻤﻌﺘﺳﻼﻟ ﻦﻴﻤﻳﻷﺍ ﺱﻭﺎﻤﻟﺍ ﺭﺰﺑ ﺮﻘﻧﺍ .ﻕﺍﻮﺑﺃ 10 ﻰﻠﻋ ﻱﻮﺘﺤﻳ.
INTL_20160419_000011	Use to obtain 455 TP.
INTL_20160419_000012	Use to obtain 266 TP.
INTL_20160419_000013	Use to obtain 112 TP.
INTL_20160419_000014	ﻭﺩﻷﺍ ﻰﻠﻋ ﻝﻮﺼﺤﻠﻟ ﻦﻴﻤﻳﻷﺍ ﺱﻭﺎﻤﻟﺍ ﺭﺰﺑ ﺮﻘﻧﺍات:{nl} - 455 TP{nl} - (ﻡﻮﻳ 60) ﺓﺮﻛﺬﺗ{nl} - Hair Accessory - Popolion Doll{nl} - Hair Accessory - Hanaming Doll{nl} - Hoglan Companion Voucher{nl} - Stat Reset Potion{nl} - Skill Reset Potion{nl}
INTL_20160419_000015	Right-click to obtain the following items:{nl} - 266 TP{nl} - (ﻡﻮﻳ 30) ﺓﺮﻛﺬﺗ{nl} - Hair Accessory - Popolion Doll{nl}
INTL_20160425_000016	Applies Token benefits to all your characters in the server for 60 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement{nl} - +20% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 60 times
INTL_20160425_000017	Applies Token benefits to all your characters in the server for 30 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl} - 1 extra instance entry for missions and dungeons
INTL_20160425_000018	Applies Token benefits to all your characters in the server for 60 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn attributes instantaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement{nl} - +30% EXP from hunting monsters{nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 60 times{nl} - 1 extra instance entry for missions and dungeons
